LST1	KLRB1
LAT2	CD79A
TRAV38-2DV8	BLVRA
TRAV38-2DV8	XCL2
TRAV38-2DV8	VCAM1
RRM2	CTSL
RRM2	FBP1
RRM2	PLAUR
RRM2	TYROBP
RRM2	S100A9
RRM2	TRAV21
TRBV5-1	AIF1
BCL2A1	CCR7
BCL2A1	NUP85
TNFRSF4	TREX1
TNFRSF4	CCL3
TNFRSF4	FCGRT
IRF8	CD79B
TREX1	CD4
TREX1	SC5D
KLRB1	TRAV12-3
CCL3	TRAV9-2
FCGRT	HIST1H4C
CD79B	IFI30
CD79B	HLA-DMB
TRAV9-2	BID
IFI30	CD79A
PLAC8	CD79A
CCR7	HLA-DMB
CCR7	CAPG
TRBV6-5	ORMDL2
BLVRA	ZNF683
BLVRA	TRAV12-2
BLVRA	FKBP11
HIST1H4C	TRBV20-1
TRBV20-1	PCNA
TRAV19	AIF1
GPR183	SYPL1
SYPL1	CAPG
TRBV9	HOPX
AIF1	POLR2I
ORMDL2	FKBP11
IFRD2	CAPG
TMEM106C	CCL3L1
IDH3A	FKBP11
