XCL2	MT1F
SDF2L1	FCRL6
FBP1	C1orf162
CD79A	RABGGTA
CD79A	PHAX
BID	JKAMP
LAIR1	CMC1
LAIR1	FCGRT
FCRL6	PON2
FCRL6	VCAM1
FCRL6	CCL3
CMC1	NCR3
CMC1	IFI44
WDR54	TREX1
MFSD1	NDUFB1
MFSD1	PYCARD
PLAUR	FCER1G
PLAUR	GSN
PLAUR	TYROBP
CTSH	FCGRT
KLRB1	PATL2
TNFRSF4	PATL2
CD79B	PATL2
ANAPC15	NUP85
C6orf1	SGK1
C6orf1	HSD17B4
ING4	PON2
IFI27L2	CYB561A3
CHI3L2	TRAV12-3
CHI3L2	TRAV12-2
CHI3L2	SELM
CHI3L2	TRBV5-1
TRGV10	TRAV12-2
TIMP1	FCGRT
IFI44L	FCGRT
YIF1A	SHMT2
MRPL54	CYB561A3
PON2	SELM
SYPL1	PLRG1
MRPL22	ATIC
MRPL22	CYB561A3
TRBV6-5	GCHFR
TRBV6-5	SELM
NUP85	RRM2
BCL11A	C1orf162
SPINT2	IFI30
SPINT2	GSN
TRBV9	TRBV4-2
FCGRT	NPC2
TRAV1-2	TRBV4-2
HLA-DMB	MS4A6A
C1orf162	AIF1
C1orf162	GSN
ORMDL2	ATIC
PATL2	TRBV20-1
PATL2	CD4
TRBV4-2	TRBV5-1
