TGFB3	TGFBR2	TGFb	Secreted Signaling
CCL2	ACKR1	CCL	Secreted Signaling
CCL8	ACKR1	CCL	Secreted Signaling
CCL14	ACKR1	CCL	Secreted Signaling
CXCL1	ACKR1	CXCL	Secreted Signaling
CXCL2	ACKR1	CXCL	Secreted Signaling
CXCL5	ACKR1	CXCL	Secreted Signaling
CXCL12	ACKR3	CXCL	Secreted Signaling
CSF1	CSF1R	CSF	Secreted Signaling
TNFSF11	TNFRSF11B	RANKL	Secreted Signaling
SPP1	ITGB1	SPP1	Secreted Signaling
SPP1	ITGA5	SPP1	Secreted Signaling
NAMPT	ITGA5	VISFATIN	Secreted Signaling
NAMPT	ITGB1	VISFATIN	Secreted Signaling
C3	ITGAM	COMPLEMENT	Secreted Signaling
C3	ITGAX	COMPLEMENT	Secreted Signaling
CTSG	F2R	PARs	Secreted Signaling
SEMA3G	PLXNA1	SEMA3	Secreted Signaling
COL1A1	ITGA1	COLLAGEN	ECM-Receptor
COL1A1	ITGB1	COLLAGEN	ECM-Receptor
COL1A2	ITGA1	COLLAGEN	ECM-Receptor
COL1A2	ITGB1	COLLAGEN	ECM-Receptor
COL4A1	ITGA1	COLLAGEN	ECM-Receptor
COL4A1	ITGB1	COLLAGEN	ECM-Receptor
COL4A2	ITGA1	COLLAGEN	ECM-Receptor
COL4A2	ITGB1	COLLAGEN	ECM-Receptor
COL6A1	ITGA1	COLLAGEN	ECM-Receptor
COL6A1	ITGB1	COLLAGEN	ECM-Receptor
COL6A2	ITGA1	COLLAGEN	ECM-Receptor
COL6A2	ITGB1	COLLAGEN	ECM-Receptor
COL6A3	ITGA1	COLLAGEN	ECM-Receptor
COL6A3	ITGB1	COLLAGEN	ECM-Receptor
FN1	ITGB1	FN1	ECM-Receptor
FN1	ITGA5	FN1	ECM-Receptor
LAMB1	ITGA1	LAMININ	ECM-Receptor
LAMB1	ITGB1	LAMININ	ECM-Receptor
LAMB2	ITGA1	LAMININ	ECM-Receptor
LAMB2	ITGB1	LAMININ	ECM-Receptor
LAMC1	ITGA1	LAMININ	ECM-Receptor
LAMC1	ITGB1	LAMININ	ECM-Receptor
RELN	ITGB1	RELN	ECM-Receptor
THBS1	ITGB1	THBS	ECM-Receptor
THBS2	ITGB1	THBS	ECM-Receptor
TNC	ITGB1	TENASCIN	ECM-Receptor
TNXB	ITGB1	TENASCIN	ECM-Receptor
COL1A1	SDC4	COLLAGEN	ECM-Receptor
COL1A2	SDC4	COLLAGEN	ECM-Receptor
COL4A1	SDC4	COLLAGEN	ECM-Receptor
COL4A2	SDC4	COLLAGEN	ECM-Receptor
COL6A1	SDC4	COLLAGEN	ECM-Receptor
COL6A2	SDC4	COLLAGEN	ECM-Receptor
COL6A3	SDC4	COLLAGEN	ECM-Receptor
FN1	SDC4	FN1	ECM-Receptor
TNC	SDC4	TENASCIN	ECM-Receptor
TNXB	SDC4	TENASCIN	ECM-Receptor
THBS1	SDC4	THBS	ECM-Receptor
THBS2	SDC4	THBS	ECM-Receptor
THBS1	CD36	THBS	ECM-Receptor
THBS2	CD36	THBS	ECM-Receptor
CD34	SELP	CD34	Cell-Cell Contact
GP1BA	ITGAM	GP1BA	Cell-Cell Contact
ICAM1	ITGAX	ICAM	Cell-Cell Contact
ICAM1	ITGAM	ICAM	Cell-Cell Contact
DLL1	NOTCH3	NOTCH	Cell-Cell Contact
DLL4	NOTCH3	NOTCH	Cell-Cell Contact
JAG1	NOTCH3	NOTCH	Cell-Cell Contact
THY1	ITGAM	THY1	Cell-Cell Contact
THY1	ITGAX	THY1	Cell-Cell Contact
