	Source	Target	Weight
0	DC_CCR7+	DC_CCR7+	10
1	T_TfR	DC_CCR7+	11
2	T_Treg	DC_CCR7+	17
3	T_CD4+_naive	DC_CCR7+	13
4	T_CD8+_naive	DC_CCR7+	13
5	T_TIM3+	DC_CCR7+	9
6	T_CD8+_cytotoxic	DC_CCR7+	13
7	T_CD4+_TfH	DC_CCR7+	18
8	T_CD8+_CD161+	DC_CCR7+	14
9	DC_CCR7+	T_TfR	10
10	T_TfR	T_TfR	125
11	T_Treg	T_TfR	130
12	T_CD4+_naive	T_TfR	118
13	T_CD8+_naive	T_TfR	117
14	T_TIM3+	T_TfR	102
15	T_CD8+_cytotoxic	T_TfR	135
16	T_CD4+_TfH	T_TfR	129
17	T_CD8+_CD161+	T_TfR	124
18	DC_CCR7+	T_Treg	13
19	T_TfR	T_Treg	140
20	T_Treg	T_Treg	154
21	T_CD4+_naive	T_Treg	143
22	T_CD8+_naive	T_Treg	142
23	T_TIM3+	T_Treg	115
24	T_CD8+_cytotoxic	T_Treg	151
25	T_CD4+_TfH	T_Treg	151
26	T_CD8+_CD161+	T_Treg	144
27	DC_CCR7+	T_CD4+_naive	9
28	T_TfR	T_CD4+_naive	117
29	T_Treg	T_CD4+_naive	131
30	T_CD4+_naive	T_CD4+_naive	122
31	T_CD8+_naive	T_CD4+_naive	121
32	T_TIM3+	T_CD4+_naive	96
33	T_CD8+_cytotoxic	T_CD4+_naive	126
34	T_CD4+_TfH	T_CD4+_naive	129
35	T_CD8+_CD161+	T_CD4+_naive	124
36	DC_CCR7+	T_CD8+_naive	7
37	T_TfR	T_CD8+_naive	123
38	T_Treg	T_CD8+_naive	138
39	T_CD4+_naive	T_CD8+_naive	130
40	T_CD8+_naive	T_CD8+_naive	129
41	T_TIM3+	T_CD8+_naive	102
42	T_CD8+_cytotoxic	T_CD8+_naive	136
43	T_CD4+_TfH	T_CD8+_naive	136
44	T_CD8+_CD161+	T_CD8+_naive	133
45	DC_CCR7+	T_TIM3+	6
46	T_TfR	T_TIM3+	104
47	T_Treg	T_TIM3+	110
48	T_CD4+_naive	T_TIM3+	104
49	T_CD8+_naive	T_TIM3+	102
50	T_TIM3+	T_TIM3+	84
51	T_CD8+_cytotoxic	T_TIM3+	113
52	T_CD4+_TfH	T_TIM3+	108
53	T_CD8+_CD161+	T_TIM3+	106
54	DC_CCR7+	T_CD8+_cytotoxic	16
55	T_TfR	T_CD8+_cytotoxic	140
56	T_Treg	T_CD8+_cytotoxic	159
57	T_CD4+_naive	T_CD8+_cytotoxic	141
58	T_CD8+_naive	T_CD8+_cytotoxic	142
59	T_TIM3+	T_CD8+_cytotoxic	121
60	T_CD8+_cytotoxic	T_CD8+_cytotoxic	163
61	T_CD4+_TfH	T_CD8+_cytotoxic	154
62	T_CD8+_CD161+	T_CD8+_cytotoxic	153
63	DC_CCR7+	T_CD4+_TfH	15
64	T_TfR	T_CD4+_TfH	143
65	T_Treg	T_CD4+_TfH	158
66	T_CD4+_naive	T_CD4+_TfH	148
67	T_CD8+_naive	T_CD4+_TfH	150
68	T_TIM3+	T_CD4+_TfH	119
69	T_CD8+_cytotoxic	T_CD4+_TfH	153
70	T_CD4+_TfH	T_CD4+_TfH	154
71	T_CD8+_CD161+	T_CD4+_TfH	149
72	DC_CCR7+	T_CD8+_CD161+	14
73	T_TfR	T_CD8+_CD161+	148
74	T_Treg	T_CD8+_CD161+	159
75	T_CD4+_naive	T_CD8+_CD161+	152
76	T_CD8+_naive	T_CD8+_CD161+	157
77	T_TIM3+	T_CD8+_CD161+	126
78	T_CD8+_cytotoxic	T_CD8+_CD161+	164
79	T_CD4+_TfH	T_CD8+_CD161+	158
80	T_CD8+_CD161+	T_CD8+_CD161+	155
